csv_name,db_name,account_id,match_ratio,power_score,target_segment_id,file
堂本剛（DOMOTO（KinKi Kids））,堂本剛,874,fuzzy_0.86,33.3,10,TPR_女性20～34_202508.csv
安田章大（SUPER EIGHT(関ジャニ∞)）,安田章大,932,fuzzy_0.89,30.0,10,TPR_女性20～34_202508.csv
丸山隆平（SUPER EIGHT(関ジャニ∞)）,丸山隆平,1002,fuzzy_0.89,28.7,10,TPR_女性20～34_202508.csv
斉藤和義,斉藤和巳,2908,fuzzy_0.75,26.0,10,TPR_女性20～34_202508.csv
長野博,‎長野博,3811,fuzzy_0.86,24.9,10,TPR_女性20～34_202508.csv
"Koki,","Kōki,",2677,fuzzy_0.80,22.4,10,TPR_女性20～34_202508.csv
田村真子,田村真佑,4609,fuzzy_0.75,21.6,10,TPR_女性20～34_202508.csv
B&ZAI,B＆ZAI,4210,fuzzy_0.80,21.3,10,TPR_女性20～34_202508.csv
市川團十郎(十三代目/市川海老蔵),市川團十郎白猿,1314,fuzzy_0.83,16.4,10,TPR_女性20～34_202508.csv
’＝LOVE,＝LOVE,4564,fuzzy_0.91,15.8,10,TPR_女性20～34_202508.csv
武田真一,武田真治,1494,fuzzy_0.75,14.0,10,TPR_女性20～34_202508.csv
TAKAHIRO（上野隆博）,EXILETAKAHIRO,604,fuzzy_0.76,11.3,10,TPR_女性20～34_202508.csv
IS:SUE,IS：SUE,4648,fuzzy_0.83,10.7,10,TPR_女性20～34_202508.csv
生野陽子,南野陽子,1174,fuzzy_0.75,10.0,10,TPR_女性20～34_202508.csv
≒JOY,JOY,1595,fuzzy_0.86,9.1,10,TPR_女性20～34_202508.csv
斎藤ちはる,ちはる,2432,fuzzy_0.75,8.9,10,TPR_女性20～34_202508.csv
増田梨沙,織田梨沙,2891,fuzzy_0.75,6.2,10,TPR_女性20～34_202508.csv
井上貴博,井上祐貴,3738,fuzzy_0.75,5.6,10,TPR_女性20～34_202508.csv
大島美優,大島優子,47,fuzzy_0.75,5.1,10,TPR_女性20～34_202508.csv
堂本剛（DOMOTO（KinKi Kids））,堂本剛,874,fuzzy_0.86,24.7,15,TPR_男性35～49_202508.csv
堂本光一（DOMOTO（KinKi Kids））,堂本光一,879,fuzzy_0.89,20.9,15,TPR_男性35～49_202508.csv
田村真子,田村真佑,4609,fuzzy_0.75,17.6,15,TPR_男性35～49_202508.csv
斉藤和義,斉藤和巳,2908,fuzzy_0.75,17.1,15,TPR_男性35～49_202508.csv
長野博,‎長野博,3811,fuzzy_0.86,16.7,15,TPR_男性35～49_202508.csv
村上信五（SUPER EIGHT(関ジャニ∞)）,村上信五,1198,fuzzy_0.89,16.4,15,TPR_男性35～49_202508.csv
生野陽子,南野陽子,1174,fuzzy_0.75,14.2,15,TPR_男性35～49_202508.csv
横山裕（SUPER EIGHT(関ジャニ∞)),横山裕,880,fuzzy_0.86,14.2,15,TPR_男性35～49_202508.csv
丸山隆平（SUPER EIGHT(関ジャニ∞)）,丸山隆平,1002,fuzzy_0.89,13.6,15,TPR_男性35～49_202508.csv
武田真一,武田真治,1494,fuzzy_0.75,13.3,15,TPR_男性35～49_202508.csv
大倉忠義（SUPER EIGHT(関ジャニ∞)）,大倉忠義,1166,fuzzy_0.89,13.1,15,TPR_男性35～49_202508.csv
市川團十郎(十三代目/市川海老蔵),市川團十郎白猿,1314,fuzzy_0.83,12.7,15,TPR_男性35～49_202508.csv
安田章大（SUPER EIGHT(関ジャニ∞)）,安田章大,932,fuzzy_0.89,12.4,15,TPR_男性35～49_202508.csv
井上貴博,井上祐貴,3738,fuzzy_0.75,10.7,15,TPR_男性35～49_202508.csv
斎藤ちはる,ちはる,2432,fuzzy_0.75,10.4,15,TPR_男性35～49_202508.csv
≒JOY,JOY,1595,fuzzy_0.86,9.6,15,TPR_男性35～49_202508.csv
"Koki,","Kōki,",2677,fuzzy_0.80,9.1,15,TPR_男性35～49_202508.csv
大島美優,大島優子,47,fuzzy_0.75,8.0,15,TPR_男性35～49_202508.csv
増田梨沙,織田梨沙,2891,fuzzy_0.75,6.7,15,TPR_男性35～49_202508.csv
’＝LOVE,＝LOVE,4564,fuzzy_0.91,5.1,15,TPR_男性35～49_202508.csv
TAKAHIRO（上野隆博）,EXILETAKAHIRO,604,fuzzy_0.76,4.2,15,TPR_男性35～49_202508.csv
B&ZAI,B＆ZAI,4210,fuzzy_0.80,4.2,15,TPR_男性35～49_202508.csv
IS:SUE,IS：SUE,4648,fuzzy_0.83,2.9,15,TPR_男性35～49_202508.csv
堂本剛（DOMOTO（KinKi Kids））,堂本剛,874,fuzzy_0.86,48.0,11,TPR_女性35～49_202508.csv
堂本光一（DOMOTO（KinKi Kids））,堂本光一,879,fuzzy_0.89,46.7,11,TPR_女性35～49_202508.csv
村上信五（SUPER EIGHT(関ジャニ∞)）,村上信五,1198,fuzzy_0.89,36.4,11,TPR_女性35～49_202508.csv
横山裕（SUPER EIGHT(関ジャニ∞)),横山裕,880,fuzzy_0.86,36.2,11,TPR_女性35～49_202508.csv
安田章大（SUPER EIGHT(関ジャニ∞)）,安田章大,932,fuzzy_0.89,33.8,11,TPR_女性35～49_202508.csv
大倉忠義（SUPER EIGHT(関ジャニ∞)）,大倉忠義,1166,fuzzy_0.89,33.6,11,TPR_女性35～49_202508.csv
丸山隆平（SUPER EIGHT(関ジャニ∞)）,丸山隆平,1002,fuzzy_0.89,33.1,11,TPR_女性35～49_202508.csv
長野博,‎長野博,3811,fuzzy_0.86,31.3,11,TPR_女性35～49_202508.csv
斉藤和義,斉藤和巳,2908,fuzzy_0.75,28.9,11,TPR_女性35～49_202508.csv
市川團十郎(十三代目/市川海老蔵),市川團十郎白猿,1314,fuzzy_0.83,27.6,11,TPR_女性35～49_202508.csv
"Koki,","Kōki,",2677,fuzzy_0.80,26.0,11,TPR_女性35～49_202508.csv
武田真一,武田真治,1494,fuzzy_0.75,21.3,11,TPR_女性35～49_202508.csv
生野陽子,南野陽子,1174,fuzzy_0.75,18.9,11,TPR_女性35～49_202508.csv
B&ZAI,B＆ZAI,4210,fuzzy_0.80,18.7,11,TPR_女性35～49_202508.csv
田村真子,田村真佑,4609,fuzzy_0.75,16.9,11,TPR_女性35～49_202508.csv
井上貴博,井上祐貴,3738,fuzzy_0.75,14.7,11,TPR_女性35～49_202508.csv
斎藤ちはる,ちはる,2432,fuzzy_0.75,9.3,11,TPR_女性35～49_202508.csv
TAKAHIRO（上野隆博）,EXILETAKAHIRO,604,fuzzy_0.76,9.1,11,TPR_女性35～49_202508.csv
≒JOY,JOY,1595,fuzzy_0.86,6.7,11,TPR_女性35～49_202508.csv
’＝LOVE,＝LOVE,4564,fuzzy_0.91,6.2,11,TPR_女性35～49_202508.csv
増田梨沙,織田梨沙,2891,fuzzy_0.75,6.0,11,TPR_女性35～49_202508.csv
大島美優,大島優子,47,fuzzy_0.75,5.6,11,TPR_女性35～49_202508.csv
IS:SUE,IS：SUE,4648,fuzzy_0.83,2.4,11,TPR_女性35～49_202508.csv
堂本光一（DOMOTO（KinKi Kids））,堂本光一,879,fuzzy_0.89,20.9,16,TPR_男性50～69_202508.csv
武田真一,武田真治,1494,fuzzy_0.75,17.3,16,TPR_男性50～69_202508.csv
堂本剛（DOMOTO（KinKi Kids））,堂本剛,874,fuzzy_0.86,17.3,16,TPR_男性50～69_202508.csv
市川團十郎(十三代目/市川海老蔵),市川團十郎白猿,1314,fuzzy_0.83,16.7,16,TPR_男性50～69_202508.csv
斉藤和義,斉藤和巳,2908,fuzzy_0.75,16.4,16,TPR_男性50～69_202508.csv
村上信五（SUPER EIGHT(関ジャニ∞)）,村上信五,1198,fuzzy_0.89,15.8,16,TPR_男性50～69_202508.csv
生野陽子,南野陽子,1174,fuzzy_0.75,14.0,16,TPR_男性50～69_202508.csv
井上貴博,井上祐貴,3738,fuzzy_0.75,13.8,16,TPR_男性50～69_202508.csv
横山裕（SUPER EIGHT(関ジャニ∞)),横山裕,880,fuzzy_0.86,13.8,16,TPR_男性50～69_202508.csv
大倉忠義（SUPER EIGHT(関ジャニ∞)）,大倉忠義,1166,fuzzy_0.89,11.1,16,TPR_男性50～69_202508.csv
田村真子,田村真佑,4609,fuzzy_0.75,11.1,16,TPR_男性50～69_202508.csv
長野博,‎長野博,3811,fuzzy_0.86,11.1,16,TPR_男性50～69_202508.csv
丸山隆平（SUPER EIGHT(関ジャニ∞)）,丸山隆平,1002,fuzzy_0.89,10.2,16,TPR_男性50～69_202508.csv
安田章大（SUPER EIGHT(関ジャニ∞)）,安田章大,932,fuzzy_0.89,10.0,16,TPR_男性50～69_202508.csv
"Koki,","Kōki,",2677,fuzzy_0.80,9.1,16,TPR_男性50～69_202508.csv
