"2025年7月調査・ﾀﾚﾝﾄｲﾒｰｼﾞ",,,,,,,,,,
"女性ﾀﾚﾝﾄ/男性20～34歳/並び順:人気度",,,,,,,,,,
,,,,,,,,,,
,,,,"イメージ",,,,,,
"順位","タレント名","人気度","知名度","おもしろい","清潔感がある","個性的な","信頼できる","かわいい","カッコいい","大人の魅力がある"
185,"堀田　真由",10.6,31.4,1.9,4.3,2.4,2.1,9.4,1.5,2.4
185,"泉　里香",10.6,29.5,0.5,3.6,2.1,1.4,10.3,2.7,5.8
185,"原　菜乃華",10.6,24.9,1.5,3.3,1.7,2.2,11.3,0.7,1.4
193,"夏木　マリ",10.5,51.8,2.7,1.4,14.1,3.6,0.9,11.5,14.6
193,"平手　友梨奈",10.5,55.6,1.2,1.7,17.8,2.1,8.4,8.9,3.4
193,"中村　アン",10.5,46.5,1.0,3.6,4.5,2.2,6.3,8.1,10.1
193,"松井　玲奈",10.5,44.4,1.9,5.1,4.3,2.1,13.4,0.9,2.9
193,"山本　舞香",10.5,41.0,1.2,3.1,6.5,0.9,11.5,8.1,3.6
193,"宇垣　美里",10.5,36.5,1.5,3.4,3.6,1.2,14.1,1.7,3.8
193,"井上　和",10.5,23.0,1.4,3.4,2.6,1.7,10.6,2.2,2.7
200,"千秋",10.3,64.5,12.7,1.0,15.4,1.9,2.9,1.4,3.9
200,"村上　知子",10.3,64.8,25.2,0.9,10.3,2.1,2.1,0.5,1.7
200,"高橋　みなみ",10.3,58.5,8.7,2.4,6.7,3.4,5.7,2.2,2.9
200,"永作　博美",10.3,38.3,0.5,3.8,3.1,1.9,6.7,1.7,12.0
204,"土屋　アンナ",10.1,58.3,4.8,2.1,13.4,2.2,2.9,12.0,10.3
204,"夏菜",10.1,44.9,1.9,3.1,4.5,1.5,8.2,2.1,3.6
204,"河合　優実",10.1,25.7,0.5,3.9,7.4,2.6,4.8,4.3,3.6
207,"前田　敦子",9.9,68.4,4.1,3.4,10.1,2.1,10.6,2.1,4.3
207,"久本　雅美",9.9,70.7,22.0,1.5,14.8,2.7,1.4,1.4,4.1
207,"松田　聖子",9.9,65.2,1.2,3.3,6.2,2.7,4.3,4.3,16.5
207,"岡田　結実",9.9,50.3,6.2,2.4,4.5,2.1,11.8,1.2,1.9
207,"村重　杏奈",9.9,44.9,9.6,1.4,7.9,1.0,9.1,0.5,1.2
