"2025年7月調査・ﾀﾚﾝﾄｲﾒｰｼﾞ",,,,,,,,,,
"男性ﾀﾚﾝﾄ/女性35～49歳/並び順:人気度",,,,,,,,,,
,,,,,,,,,,
,,,,"イメージ",,,,,,
"順位","タレント名","人気度","知名度","おもしろい","清潔感がある","個性的な","信頼できる","かわいい","カッコいい","大人の魅力がある"
258,"藤森　慎吾",17.7,94.9,31.6,5.9,17.1,3.0,1.9,7.8,2.5
260,"南原　清隆",17.6,95.3,28.9,3.6,14.9,9.5,0.8,1.6,5.0
260,"田中　要次",17.6,89.3,8.2,1.2,42.0,6.1,0.6,3.6,15.4
260,"羽生　結弦",17.6,96.3,1.1,17.0,16.8,7.2,7.6,12.0,2.2
263,"霜降り明星",17.4,91.6,37.2,1.7,23.2,2.0,1.4,0.8,0.8
263,"染谷　将太",17.4,82.6,2.3,3.3,40.6,4.0,2.5,10.0,3.6
265,"後藤　輝基",17.3,89.0,41.5,2.3,17.7,4.2,0.5,2.0,1.7
265,"伊沢　拓司",17.3,80.6,8.9,2.5,18.0,13.1,1.1,1.6,0.6
267,"伊集院　光",17.1,95.0,26.1,1.7,25.3,13.5,0.2,1.1,3.6
267,"眞栄田　郷敦",17.1,77.4,1.2,7.5,12.3,2.0,3.6,34.2,3.3
267,"渡辺　翔太",17.1,64.7,8.9,12.6,9.8,2.3,7.5,21.3,2.3
270,"あばれる君",17.0,92.8,37.6,1.4,26.9,4.4,1.9,1.2,0.6
270,"杉野　遥亮",17.0,58.0,2.3,11.8,4.7,1.4,5.9,24.3,2.0
272,"土田　晃之",16.8,94.4,33.1,1.7,19.4,7.3,0.8,1.4,3.6
272,"温水　洋一",16.8,93.0,17.4,1.4,47.1,3.1,3.3,0.8,3.6
272,"三浦　友和",16.8,89.9,1.7,5.0,8.7,12.4,0.5,15.4,46.8
272,"宮沢　氷魚",16.8,76.7,0.8,13.7,21.5,1.6,3.9,23.2,6.1
276,"杉浦　太陽",16.6,94.7,4.4,11.7,8.6,9.6,8.6,13.1,3.0
277,"加藤　浩次",16.5,95.2,22.4,1.9,20.4,9.0,0.6,3.7,7.3
277,"陣内　智則",16.5,95.6,44.6,2.5,15.1,2.2,2.0,1.1,1.9
277,"岸谷　五朗",16.5,87.9,7.2,2.8,22.7,7.6,0.5,8.1,29.5
277,"小林　薫",16.5,82.4,2.2,2.5,19.1,9.2,0.8,10.7,39.5
277,"高杉　真宙",16.5,58.0,1.7,10.0,5.4,1.1,12.6,21.6,0.8
282,"香川　照之",16.3,93.0,10.7,2.0,32.8,5.9,0.5,3.0,12.8
282,"長嶋　一茂",16.3,96.1,27.2,3.3,28.3,3.0,0.6,2.2,6.4
282,"岡山　天音",16.3,59.6,2.5,2.5,35.9,3.1,2.5,3.0,1.6
285,"速水　もこみち",16.2,95.3,5.1,12.3,13.2,4.2,1.4,34.5,11.2
285,"柄本　時生",16.2,88.0,7.0,1.4,54.7,4.0,0.3,1.6,3.7
285,"見取り図",16.2,78.4,29.9,0.6,17.4,1.9,0.9,2.0,1.1
