"2025年7月調査・ﾀﾚﾝﾄｲﾒｰｼﾞ",,,,,,,,,,
"男性ﾀﾚﾝﾄ/男性35～49歳/並び順:人気度",,,,,,,,,,
,,,,,,,,,,
,,,,"イメージ",,,,,,
"順位","タレント名","人気度","知名度","おもしろい","清潔感がある","個性的な","信頼できる","かわいい","カッコいい","大人の魅力がある"
230,"松本　潤",17.1,88.2,4.5,10.7,15.6,6.0,2.4,32.6,7.3
230,"綾野　剛",17.1,82.4,1.7,3.7,21.8,5.1,0.8,20.9,11.5
230,"筧　利夫",17.1,78.5,11.8,2.4,23.9,4.8,0.6,5.5,14.7
233,"ビビる大木",17.0,86.8,28.8,2.2,21.1,2.5,1.7,0.8,2.1
233,"竹内　涼真",17.0,72.1,1.8,10.8,10.8,3.4,0.7,26.0,4.9
235,"松田　龍平",16.9,71.6,2.5,4.2,26.0,3.9,1.0,13.6,9.0
235,"仲野　太賀",16.9,41.6,4.6,3.2,9.8,3.1,1.5,5.6,3.2
237,"ＩＫＫＯ",16.7,88.9,25.3,3.1,38.1,4.1,1.1,2.1,3.5
238,"ＤＥＡＮ　ＦＵＪＩＯＫＡ",16.6,80.5,2.0,10.1,14.6,5.1,0.8,34.8,21.5
238,"関口　メンディ－",16.6,77.1,17.4,2.9,23.3,2.1,0.7,9.7,1.3
238,"山崎　育三郎",16.6,60.0,4.1,8.8,13.3,4.9,1.1,14.9,7.3
241,"満島　真之介",16.4,57.0,12.2,4.2,14.9,3.2,1.4,10.3,2.8
242,"武井　壮",16.3,88.2,14.0,2.2,29.2,4.9,0.6,5.5,3.5
242,"中山　秀征",16.3,86.5,13.3,4.8,15.9,8.6,1.0,2.1,10.4
242,"寺脇　康文",16.3,69.8,3.8,1.8,13.8,5.3,0.4,9.1,18.1
245,"川平　慈英",16.2,80.9,14.6,3.4,27.0,3.9,0.1,3.2,5.1
245,"宇梶　剛士",16.2,79.4,3.9,2.1,22.9,5.1,0.4,10.7,19.8
245,"内野　聖陽",16.2,58.0,1.3,2.1,13.2,4.8,0.4,13.6,21.1
248,"速水　もこみち",16.0,86.9,3.7,11.8,17.6,2.7,1.1,30.5,10.0
248,"石原　良純",16.0,88.6,17.0,2.0,27.5,5.1,1.3,0.7,6.0
248,"内藤　剛志",16.0,78.4,2.7,1.4,17.8,6.5,0.1,5.9,21.9
251,"小手　伸也",15.9,63.1,12.9,1.0,27.4,2.7,1.3,1.0,5.9
252,"中尾　明慶",15.7,69.9,8.6,4.4,17.8,3.4,2.7,6.7,3.8
253,"ミキ",15.6,75.7,27.4,2.0,16.0,1.4,2.2,0.6,0.7
253,"柄本　佑",15.6,63.9,2.8,2.5,27.0,3.8,0.7,4.2,5.2
255,"福士　蒼汰",15.4,73.9,1.1,11.5,10.0,2.9,2.8,27.7,4.5
255,"岩井　勇気",15.4,72.1,24.4,1.7,21.2,2.2,0,1.4,0.7
255,"杉本　哲太",15.4,70.5,1.7,1.5,18.1,6.0,0.6,7.6,22.1
255,"おいでやす小田",15.4,71.6,27.1,1.4,21.8,2.0,0.8,0.4,0.7
255,"勝村　政信",15.4,68.4,7.2,2.8,15.7,4.9,0.4,3.4,10.7
255,"森山　未來",15.4,67.0,1.5,3.2,27.9,4.2,0.7,7.4,5.5
261,"伊藤　俊介",15.3,68.1,26.3,1.1,20.5,1.4,1.0,0.7,1.1
261,"北村　匠海",15.3,60.3,1.1,6.2,10.7,3.5,3.7,17.4,2.4
261,"窪田　正孝",15.3,61.0,2.0,6.9,16.0,4.1,2.2,14.6,4.2
264,"高橋　英樹",15.2,85.4,4.8,3.4,14.7,10.3,1.0,8.0,26.8
264,"梅沢　富美男",15.2,87.2,15.2,2.0,25.0,5.2,1.1,1.8,14.0
266,"谷原　章介",15.0,80.6,2.1,10.7,11.7,7.2,0.6,13.9,20.6
266,"尾上　松也",15.0,67.8,6.2,4.8,20.2,3.8,1.1,9.4,6.9
266,"小林　薫",15.0,62.6,1.1,1.7,14.9,5.2,0.1,7.7,25.1
266,"山田　裕貴",15.0,54.1,5.2,6.3,12.1,4.1,0.6,19.1,3.4
270,"小池　徹平",14.7,82.3,2.5,11.8,11.8,2.7,15.3,18.7,3.2
271,"原田　龍二",14.5,69.8,9.8,2.1,16.2,2.4,1.3,9.0,11.1
272,"武田　鉄矢",14.3,91.0,5.1,1.1,26.3,10.4,0.7,2.1,12.4
272,"荒川　良々",14.3,52.5,7.7,1.5,27.8,2.0,0.7,0.6,2.0
272,"井浦　新",14.3,49.2,1.3,4.4,12.6,3.8,0.6,10.7,12.6
272,"松下　洸平",14.3,45.1,0.8,9.6,7.4,3.4,1.0,14.6,4.5
276,"柄本　時生",14.2,68.3,4.8,1.0,32.4,3.2,1.5,1.1,2.9
277,"大森　南朋",14.0,60.8,1.7,1.5,21.9,4.8,1.1,5.2,15.7
277,"間宮　祥太朗",14.0,58.3,2.8,4.8,9.8,3.4,1.3,17.8,3.8
279,"城田　優",13.9,76.0,2.8,6.7,13.9,2.2,0.1,27.1,6.9
280,"槙野　智章",13.8,70.1,9.7,5.8,16.3,3.2,0.6,12.8,4.8
280,"染谷　将太",13.8,59.3,2.2,3.1,20.2,4.1,1.4,8.8,3.4
