"2025年7月調査・ﾀﾚﾝﾄｲﾒｰｼﾞ",,,,,,,,,,
"男性ﾀﾚﾝﾄ/男性20～34歳/並び順:人気度",,,,,,,,,,
,,,,,,,,,,
,,,,"イメージ",,,,,,
"順位","タレント名","人気度","知名度","おもしろい","清潔感がある","個性的な","信頼できる","かわいい","カッコいい","大人の魅力がある"
78,"松岡　昌宏",24.4,66.6,6.2,4.5,8.9,7.9,0.3,23.2,14.2
83,"田中　卓志",24.2,74.8,34.0,1.4,14.9,3.9,0.9,1.0,1.9
83,"吉村　崇",24.2,66.9,28.5,2.4,11.0,4.1,1.0,1.4,2.4
85,"佐藤　健",24.0,68.3,1.7,9.1,6.5,4.6,1.7,33.4,10.1
85,"角田　晃広",24.0,57.1,23.7,1.0,9.6,3.9,0.7,1.0,3.9
87,"村上　信五",23.8,67.6,25.2,3.1,9.6,4.6,1.2,8.1,2.6
87,"木村　昴",23.8,63.5,15.6,3.6,12.7,3.9,1.4,8.6,3.9
89,"唐沢　寿明",23.7,65.4,6.3,5.1,7.2,4.6,0.9,14.4,20.4
89,"松坂　桃李",23.7,67.1,3.1,11.8,5.7,4.8,0.9,29.3,7.9
91,"玉木　宏",23.3,64.2,1.9,5.0,4.8,4.1,0.5,26.1,21.3
92,"反町　隆史",23.2,67.6,1.7,7.2,6.0,3.9,0.7,29.2,25.4
92,"高田　純次",23.2,67.6,27.4,2.1,20.1,4.5,1.4,7.0,15.1
92,"竹野内　豊",23.2,59.5,1.5,6.3,5.7,4.6,0.7,23.5,26.1
95,"賀来　賢人",22.5,59.9,9.9,6.2,9.4,2.9,0.9,20.1,6.7
96,"みやぞん",22.3,75.8,28.8,2.1,15.4,3.3,1.7,2.1,0.9
97,"ＩＫＫＯ",22.1,78.6,25.2,3.3,25.7,6.2,1.7,1.4,3.3
97,"後藤　輝基",22.1,67.6,30.0,1.5,8.4,4.3,1.7,1.4,2.1
97,"小籔　千豊",22.1,71.5,28.6,1.5,16.5,4.8,1.2,1.7,4.1
