"2025年7月調査・ﾀﾚﾝﾄｲﾒｰｼﾞ",,,,,,,,,,
"男性ﾀﾚﾝﾄ/女性20～34歳/並び順:人気度",,,,,,,,,,
,,,,,,,,,,
,,,,"イメージ",,,,,,
"順位","タレント名","人気度","知名度","おもしろい","清潔感がある","個性的な","信頼できる","かわいい","カッコいい","大人の魅力がある"
115,"有田　哲平",22.1,86.8,45.6,2.3,13.0,6.2,0.6,1.4,2.9
115,"中川　大志",22.1,75.6,3.7,14.9,3.7,4.4,5.4,34.6,1.4
115,"仲野　太賀",22.1,58.2,13.7,6.0,14.5,5.6,2.9,10.3,1.5
118,"小泉　孝太郎",21.9,82.8,5.6,15.1,7.0,6.6,1.4,16.6,10.1
118,"堤　真一",21.9,77.4,6.8,4.1,7.7,7.5,0.6,13.9,28.8
120,"井ノ原　快彦",21.7,79.5,8.1,9.7,5.2,11.8,3.5,13.2,13.7
121,"山里　亮太",21.5,86.3,39.7,2.1,21.1,9.5,0.6,1.5,1.4
121,"斎藤　工",21.5,82.0,4.3,2.7,15.5,4.3,0.8,25.7,31.1
121,"新田　真剣佑",21.5,79.5,1.7,8.3,5.8,2.1,2.5,42.4,5.2
121,"松山　ケンイチ",21.5,80.3,6.8,4.4,19.3,5.4,0.2,16.1,14.5
121,"井浦　新",21.5,63.4,2.1,5.6,12.6,6.0,2.3,15.7,19.7
126,"佐野　勇斗",21.3,59.0,10.6,7.9,5.4,2.1,6.6,27.1,1.7
127,"妻夫木　聡",21.1,79.9,2.7,11.4,5.6,5.4,1.9,29.0,15.5
127,"ブラックマヨネ－ズ",21.1,85.5,40.6,0.2,12.6,3.7,0.2,0.2,1.0
127,"松田　翔太",21.1,77.9,1.2,5.4,17.6,3.5,0.6,27.3,17.0
127,"横山　裕",21.1,79.9,24.2,5.4,11.2,4.8,2.7,18.0,4.1
127,"本郷　奏多",21.1,73.3,4.4,6.8,21.3,2.1,5.6,18.2,2.7
127,"柳楽　優弥",21.1,69.2,2.7,5.2,17.2,6.0,1.2,20.7,7.5
133,"佐々木　蔵之介",20.9,77.8,3.1,7.5,6.8,7.9,1.0,18.0,31.3
133,"吉村　崇",20.9,80.7,38.5,2.3,12.4,5.8,0.8,3.1,2.9
135,"陣内　智則",20.7,86.1,45.1,2.9,10.4,3.3,0.6,1.4,2.5
135,"鈴木　福",20.7,87.4,4.4,9.1,6.2,4.4,20.1,6.0,0.6
137,"藤木　直人",20.5,74.7,1.4,11.6,4.3,5.6,0.4,28.0,25.5
137,"ジェシ－",20.5,74.3,21.1,5.8,11.2,3.1,4.1,25.1,3.7
137,"阿部　亮平",20.5,65.0,4.8,13.0,7.5,10.3,7.5,19.0,4.4
137,"森本　慎太郎",20.5,65.2,18.0,4.8,7.5,3.9,3.5,22.4,2.3
137,"高橋　文哉",20.5,56.1,2.5,11.0,2.3,2.5,10.8,27.9,2.3
137,"寺西　拓人",20.5,44.7,4.6,9.9,4.6,4.4,5.0,19.9,8.3
143,"堂本　剛",20.3,84.1,10.6,3.5,28.2,6.0,2.5,16.4,11.6
143,"羽鳥　慎一",20.3,83.0,7.4,9.7,4.4,16.1,1.4,3.1,4.3
143,"唐沢　寿明",20.3,78.9,5.6,4.1,8.5,6.2,0.8,17.2,26.5
143,"杉浦　太陽",20.3,81.0,6.0,10.3,4.8,13.5,6.2,16.4,4.8
143,"ダイアン",20.3,72.3,33.5,0.6,14.3,1.7,1.5,0.8,0.8
