"2025年7月調査・ﾀﾚﾝﾄｲﾒｰｼﾞ",,,,,,,,,,
"男性ﾀﾚﾝﾄ/男性12～19歳/並び順:人気度",,,,,,,,,,
,,,,,,,,,,
,,,,"イメージ",,,,,,
"順位","タレント名","人気度","知名度","おもしろい","清潔感がある","個性的な","信頼できる","かわいい","カッコいい","大人の魅力がある"
128,"平野　紫耀",14.5,52.9,8.4,2.2,3.5,1.3,2.2,29.5,2.2
128,"香川　照之",14.5,48.9,6.2,1.8,12.3,3.5,0.4,6.6,6.6
128,"岡田　准一",14.5,44.5,2.6,4.0,5.3,2.6,1.8,18.5,9.3
128,"斎藤　工",14.5,45.8,1.8,1.3,9.3,3.1,0.4,12.8,11.9
128,"永瀬　廉",14.5,43.6,2.2,4.0,2.2,1.8,2.6,18.9,3.1
128,"山下　智久",14.5,44.9,1.8,4.0,3.5,3.5,1.8,24.7,7.0
128,"柳沢　慎吾",14.5,42.7,16.7,1.3,11.5,1.3,0.4,2.6,2.2
137,"間宮　祥太朗",14.1,41.4,1.8,5.3,3.1,3.1,1.8,17.2,3.1
137,"反町　隆史",14.1,37.0,1.3,2.6,2.6,6.2,0.9,16.7,15.9
139,"羽生　結弦",13.7,67.0,1.8,5.7,8.8,1.8,4.8,11.9,4.8
139,"武井　壮",13.7,57.3,11.9,3.1,8.8,2.6,0.9,5.3,4.0
139,"大沢　たかお",13.7,36.6,2.2,1.3,6.6,4.0,0.4,10.1,15.9
142,"今田　耕司",13.2,59.9,22.9,0.9,5.7,3.5,0.4,3.5,2.6
142,"小籔　千豊",13.2,51.5,24.7,0.9,8.4,3.5,0.9,1.3,3.5
142,"ラウ－ル",13.2,49.3,7.5,4.0,5.7,2.2,3.1,23.8,3.5
142,"役所　広司",13.2,44.5,1.3,0.4,4.0,4.0,0.4,8.8,17.6
142,"沢村　一樹",13.2,39.2,7.5,2.2,5.7,2.6,0.9,10.6,11.0
142,"竹野内　豊",13.2,34.8,2.2,4.0,3.1,4.0,1.8,15.4,15.9
148,"松平　健",12.8,50.2,5.3,0.9,5.3,4.4,1.8,4.4,15.4
148,"塚地　武雅",12.8,41.4,18.5,0.4,8.4,2.6,3.1,0.9,1.8
148,"及川　光博",12.8,36.1,5.7,4.4,8.4,3.1,0.9,10.6,10.6
