"2025年7月調査・ﾀﾚﾝﾄｲﾒｰｼﾞ",,,,,,,,,,
"女性ﾀﾚﾝﾄ/女性50～69歳/並び順:人気度",,,,,,,,,,
,,,,,,,,,,
,,,,"イメージ",,,,,,
"順位","タレント名","人気度","知名度","おもしろい","清潔感がある","個性的な","信頼できる","かわいい","カッコいい","大人の魅力がある"
175,"森　泉",22.7,94.6,23.4,4.1,38.5,5.5,9.4,11.5,3.7
175,"王林",22.7,88.5,25.3,6.9,26.2,2.6,31.7,5.2,1.5
175,"宮澤　エマ",22.7,69.4,1.9,9.3,19.8,7.3,10.8,7.6,12.3
179,"財前　直見",22.6,94.5,4.7,5.9,22.5,12.7,2.4,12.1,33.3
179,"北斗　晶",22.6,97.2,29.8,1.7,30.3,12.8,1.7,11.1,4.8
181,"石野　真子",22.4,97.3,3.5,7.2,15.8,5.8,24.2,1.9,24.3
182,"貫地谷　しほり",22.2,88.4,2.9,8.0,21.7,5.9,16.9,4.0,8.6
183,"久本　雅美",22.1,97.8,48.9,1.4,40.5,5.6,2.4,3.8,5.6
183,"若槻　千夏",22.1,91.5,35.0,4.2,29.3,4.7,10.4,5.1,1.9
185,"志田　未来",22.0,84.3,1.7,10.9,17.7,6.5,25.6,2.2,2.2
186,"国仲　涼子",21.8,89.2,0.9,15.7,14.0,5.2,28.9,2.8,9.9
186,"池田　エライザ",21.8,76.6,1.2,6.5,26.9,3.1,20.6,17.5,4.2
188,"倉科　カナ",21.7,83.6,1.2,14.0,13.2,3.8,31.4,6.2,7.9
188,"ぼる塾",21.7,80.8,41.0,0.5,29.8,3.1,3.3,0.5,0.7
190,"若村　麻由美",21.5,83.8,1.4,6.6,17.1,6.8,4.0,12.8,42.1
191,"木村　カエラ",21.3,94.9,3.6,4.7,49.8,3.7,15.6,18.0,6.2
192,"松本　若菜",21.2,52.0,4.3,8.5,9.9,5.5,13.2,9.4,12.3
193,"萬田　久子",21.1,96.5,3.1,3.8,26.0,8.1,0.7,26.4,57.5
193,"おかずクラブ",21.1,82.9,41.4,0.3,28.6,2.1,4.4,0.3,0.6
195,"桐谷　美玲",20.8,88.9,0.9,18.6,14.1,5.0,39.8,6.4,4.4
195,"中川　翔子",20.8,95.3,16.5,3.4,48.4,5.0,21.2,2.8,2.0
195,"門脇　麦",20.8,78.5,2.1,5.9,38.3,5.9,15.7,4.3,3.3
198,"大島　優子",20.6,92.7,3.6,8.4,14.7,5.4,28.5,4.2,3.5
198,"板谷　由夏",20.6,73.6,0.9,6.3,17.0,7.5,1.6,20.7,34.8
198,"生見　愛瑠",20.6,73.3,6.3,10.4,13.5,1.9,44.0,2.7,1.3
201,"渡辺　満里奈",20.5,95.7,3.5,13.7,13.7,11.3,19.1,2.6,12.5
201,"鈴木　砂羽",20.5,85.9,11.6,1.5,24.7,5.6,2.1,11.1,19.4
203,"原　日出子",20.4,93.5,0.8,4.9,15.3,12.6,5.2,3.8,43.9
203,"乙葉",20.4,90.0,2.6,15.8,13.6,5.7,37.4,0.8,5.0
205,"ＭＥＧＵＭＩ",20.3,92.4,8.7,4.8,33.8,5.8,3.7,22.4,19.0
205,"平　愛梨",20.3,87.1,12.3,8.3,16.9,3.3,35.4,3.0,4.0
207,"ＳＨＥＬＬＹ",20.0,89.5,22.5,2.7,29.8,7.6,4.9,11.5,6.3
208,"村上　知子",19.9,93.4,43.4,2.4,27.2,5.4,6.2,1.0,1.9
209,"池田　美優",19.8,92.2,15.4,3.1,23.9,5.6,19.0,10.0,1.9
209,"土屋　太鳳",19.8,93.0,1.7,13.5,21.1,6.3,24.0,6.6,4.3
209,"あの",19.8,90.6,17.5,2.1,53.7,1.9,21.7,2.6,0.7
209,"磯山　さやか",19.8,78.0,14.3,3.8,12.6,2.6,18.2,1.6,4.8
213,"藤原　紀香",19.6,97.4,6.3,7.6,22.7,7.5,4.5,20.3,39.3
214,"磯野　貴理子",19.4,96.6,36.0,1.6,28.4,4.9,2.4,1.7,5.9
215,"かなで",19.3,85.2,42.4,1.4,26.0,1.7,13.5,0.5,1.0
215,"永尾　柚乃",19.3,75.1,10.1,2.9,24.1,2.6,38.6,0.1,0.2
217,"高岡　早紀",19.2,93.5,1.7,5.5,26.4,3.8,6.5,13.7,42.1
217,"白石　麻衣",19.2,83.4,2.4,18.6,9.3,2.8,41.1,3.5,4.3
219,"新木　優子",19.0,71.8,0.8,14.1,9.7,2.1,27.2,6.8,6.3
219,"小松　菜奈",19.0,71.4,0.5,7.6,35.4,3.4,15.0,19.7,4.4
221,"松本　まりか",18.7,75.1,4.2,5.1,37.1,3.0,16.4,4.3,10.6
221,"松岡　茉優",18.7,73.5,3.3,8.0,15.6,3.5,25.1,2.1,2.2
223,"南野　陽子",18.6,97.2,3.3,7.0,16.8,4.7,14.6,3.4,27.1
223,"水野　真紀",18.6,93.9,1.2,18.7,11.9,9.0,10.5,5.1,29.6
225,"富田　靖子",18.5,93.0,2.0,9.8,18.0,8.5,9.0,3.6,16.9
226,"田中　律子",18.4,94.4,6.2,9.7,17.8,6.5,9.4,7.0,10.6
227,"西田　尚美",18.3,62.3,4.2,5.0,20.5,6.8,4.0,3.0,13.0
228,"矢田　亜希子",18.2,91.3,5.9,11.6,14.3,4.1,21.5,5.0,15.3
228,"高橋　惠子",18.2,87.3,1.2,5.1,16.4,10.0,1.5,10.4,52.5
230,"武井　咲",18.0,91.9,0.8,21.5,14.0,4.9,31.2,6.8,8.6
231,"夏帆",17.9,74.9,1.7,10.1,22.5,3.5,19.3,3.7,3.7
232,"のん",17.8,76.9,2.1,8.7,26.3,3.1,26.8,1.9,0.7
233,"堀田　真由",17.6,64.6,1.4,10.6,10.2,2.2,25.8,2.7,2.9
234,"ロ－ラ",17.5,94.2,13.5,4.7,36.1,3.0,20.4,21.2,6.1
234,"栗山　千明",17.5,85.2,1.4,6.6,31.0,4.1,5.8,17.8,15.6
236,"本田　翼",17.1,90.0,5.1,10.6,17.3,1.3,38.9,4.8,1.6
236,"永野　芽郁",17.1,90.3,2.6,8.5,18.3,1.7,36.1,1.9,1.6
238,"山口　もえ",17.0,95.2,12.1,8.4,25.3,4.4,24.6,1.0,4.8
238,"ゆりやんレトリィバァ",17.0,92.0,40.6,1.3,45.6,3.1,3.1,2.7,1.2
240,"ともさか　りえ",16.9,95.7,2.1,9.8,30.4,4.9,9.5,5.1,15.3
241,"岸井　ゆきの",16.5,53.7,2.0,3.6,24.9,4.2,9.3,2.0,1.7
242,"吹石　一恵",16.4,91.7,0.5,17.2,18.7,7.6,7.7,6.9,20.3
243,"村上　佳菜子",16.1,92.0,16.8,5.5,18.9,2.4,18.5,2.3,1.2
243,"黒谷　友香",16.1,81.8,1.7,6.3,17.7,4.9,3.5,19.7,26.0
243,"神田　愛花",16.1,81.8,27.4,3.1,26.7,4.8,6.2,1.4,2.4
243,"桜井　ユキ",16.1,48.7,0.7,4.4,21.8,4.1,3.5,9.3,10.0
247,"田中　みな実",15.9,92.8,3.1,10.7,25.1,3.1,21.4,7.9,12.6
247,"山本　美月",15.9,78.0,0.7,15.0,12.9,3.5,31.5,4.0,4.3
249,"藤田　ニコル",15.8,93.5,6.1,4.8,27.6,2.1,30.8,3.3,1.2
249,"森口　瑶子",15.8,71.0,1.7,8.7,12.8,5.2,7.9,4.9,28.2
251,"高島　彩",15.7,86.5,1.0,13.7,10.8,11.3,16.1,2.7,8.6
252,"幾田　りら",15.6,50.8,0.7,4.4,12.9,1.9,16.6,4.2,0.8
253,"山口　紗弥加",15.4,70.8,1.2,5.8,19.0,4.7,7.6,7.5,15.9
254,"南　果歩",15.1,96.0,1.5,7.9,23.2,6.1,8.4,6.9,36.8
254,"斉藤　由貴",15.1,97.8,3.1,3.7,40.6,3.5,10.6,3.7,23.7
256,"坂下　千里子",15.0,89.8,24.2,4.3,18.0,3.3,10.9,0.5,2.7
256,"中越　典子",15.0,75.6,0.7,10.6,12.5,4.0,9.7,3.3,12.5
258,"酒井　美紀",14.8,83.9,0.7,11.9,12.7,7.7,9.7,4.2,14.4
259,"本仮屋　ユイカ",14.6,83.6,1.5,15.7,12.6,4.9,23.3,2.7,4.0
260,"松本　伊代",14.4,98.4,24.7,3.4,24.6,1.9,24.3,0.8,3.0
261,"伊原　六花",14.3,56.2,1.3,7.3,9.9,2.2,20.4,5.0,0.6
262,"高橋メアリ－ジュン",14.2,77.1,2.2,3.1,25.7,3.5,7.8,18.2,8.3
